Nome;Tipo
CEFAM-CENTRO EDUCACIONAL FELIPE AUGUSTO MARTINS;Privada
CEGRAN - CENTRO DE ENSINO CAMPOGRANDENSE;Privada
CEI - CLAUDETE DE OLIVEIRA DA VERA CRUZ;Privada
CEI - FLAMINGOS;Privada
CEI - JOAO PAULO II;Privada
CEI - MARIA APARECIDA MORAES DAVILA - SANTA CASA;Privada
CEI - MORADA DO SOL;Privada
CEI - NOVA ESPERANCA;Privada
CEI - PEQUENO PRINCIPE;Privada
CEIAN- ANANDAMOYI;Privada
CEINF - PARAISO DA CRIANCA E CE FENNIX;Privada
CEMAR - CENTRO EDUCACIONAL MARECHAL RONDON;Privada
CENTEC CURSOS TECNICOS LTDA-ME;Privada
CENTRO DE ATENDIMENTO EDUCACIONAL ESPECIALIZADO MARCELO TAKAHASHI;Privada
CENTRO DE ATENDIMENTO EDUCACIONAL ESPECIALIZADO O CASULO;Privada
CENTRO DE EDUCACAO ESPECIAL GIRASSOL;Privada
CENTRO DE EDUCACAO INFANTIL GIRASSOL;Privada
CENTRO DE EDUCACAO INFANTIL RISCOS E RABISCOS;Privada
CENTRO DE EDUCACAO INFANTIL VO INEZ;Privada
CENTRO DE EDUCACAO INTEGRADA EIRELI;Privada
CENTRO DE EDUCACAO PROFISSIONAL - SENAC CAMPO GRANDE;Privada
CENTRO DE EDUCACAO PROFISSIONAL-SENAC TURISMO E GASTRONOMIA;Privada
CENTRO DE EDUCACAO SAN AGOSTINO;Privada
CENTRO DE ENS NOSSA SENHORA AUXILIADORA;Privada
CENTRO DE ENSINO CAMPO-GRANDENSE - CECAMP;Privada
CENTRO DE ENSINO IMPACTO SS LTDA - ME;Privada
CENTRO DE ESTUDOS ASES DA EDUCACAO LTDA;Privada
CENTRO DE EXCELENCIA EM BOVINOCULTURA DE CORTE;Privada
CENTRO DESENV DO POTENCIAL HUMANO RAIO DE LUZ;Privada
CENTRO EDUCACIONAL ALCEU VIANA;Privada
CENTRO EDUCACIONAL ARTE DE ENSINAR;Privada
CENTRO EDUCACIONAL CONSTRUINDO O SABER;Privada
CENTRO EDUCACIONAL JEAN PIAGET;Privada
CENTRO EDUCACIONAL MANOEL DE BARROS;Privada
CENTRO EDUCACIONAL PADRAO;Privada
CENTRO EDUCACIONAL PAULO DE TARSO;Privada
CENTRO EDUCACIONAL SUPERACAO;Privada
CENTRO EDUCACIONAL UCDC;Privada
CETEP PREMIER;Privada
CNEC - ESCOLA CENECISTA OLIVA ENCISO;Privada
COLEGIO ABC DE EIEF;Privada
COLEGIO ADVENTISTA CAMPO-GRANDENSE;Privada
COLEGIO ADVENTISTA JARDIM DOS ESTADOS;Privada
COLEGIO ADVENTISTA VILAS BOAS;Privada
COLEGIO ALBERTO BETTENCOURT;Privada
COLEGIO ALMIRANTE TAMANDARE;Privada
COLEGIO ALMIRANTE TAMANDARE - CCAT BABY;Privada
COLEGIO AMBIENTAL;Privada
COLEGIO ATENAS;Privada
COLEGIO BALAO MAGICO;Privada
COLEGIO BIONATUS;Privada
COLEGIO BIONATUS II;Privada
COLEGIO BIONATUS-ENSINO FUNDAMENTAL;Privada
COLEGIO CBA ABC;Privada
COLEGIO CENTRO-OESTE;Privada
COLEGIO CLASSE A;Privada
COLEGIO CLASSE A UNIDADE II;Privada
COLEGIO CONSTRUINDO O FUTURO;Privada
COLEGIO CRISTAO ALIANCADOS;Privada
COLEGIO DE EDUCACAO INFANTIL MONTEIRO LOBATO LTDA;Privada
COLEGIO DE ENSINO FUNDAMENTAL NOVA GERACAO;Privada
COLEGIO DE ENSINO MEDIO NOVA GERACAO;Privada
COLEGIO EVORA;Privada
COLEGIO FENNIX BABY;Privada
COLEGIO FUTURO LTDA;Privada
COLEGIO GERACAO RESULTADOS;Privada
COLEGIO HARMONIA - UNIDADE I;Privada
COLEGIO HARMONIA - UNIDADE II;Privada
COLEGIO IMPACTO CENTRO DE ENSINO LTDA - ME;Privada
COLEGIO JESUS CRIANCA;Privada
COLEGIO LICEU;Privada
COLEGIO LICEU - UNID II;Privada
COLEGIO MAESTRIA - ENEM E VESTIBULARES;Privada
COLEGIO MARIA MONTESSORI;Privada
COLEGIO MARISTA ALEXANDER FLEMING;Privada
COLEGIO MASTER LTDA;Privada
COLEGIO MODELO;Privada
COLEGIO MON GEANT ENSINO FUNDAMENTAL I E II LTDA;Privada
