Restrição de Atendimento;Nome;Código INEP;UF;Município;Localização;Localidade Diferenciada;Categoria Administrativa;Endereço;Telefone;Tipo;Categoria Escola Privada;Conveniada Poder Público;Regulamentação pelo Conselho de Educação;Porte da Escola;Etapas e Modalidade de Ensino Oferecidas;Outras Ofertas Educacionais;Latitude;Longitude;Lat tratada;Long tratada;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEI JOAO GARCIA DE CARVALHO FILHO;50026038;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA FLORAO, 971 JARDIM TARUMA. 79097-220 Campo Grande - MS.;(67) 20204234;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;;-2.054.115.223;-5.467.396.801;-2.054.115.223;-5.467.396.801;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEI PROF OSVALDO MACIEL DE OLIVEIRA;50026046;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA DRACENA, S/N VILA TAQUARUSSU. 79006-130 Campo Grande - MS.;(67) 20204274;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-2.048.175.049;-5.462.997.903;-2.048.175.049;-5.462.997.903;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEI PIRATININGA;50026054;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA COROADOS, 276 VILA PIRATININGA. 79081-000 Campo Grande - MS.;(67) 20204271;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-204.935.973;-546.276.229;-204.935.973;-546.276.229;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEI MARIA CRISTINA OCARIZ DE BARROS;50026062;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA PIASSANGUABA, 1115 JARDIM TIJUCA. 79094-160 Campo Grande - MS.;(67) 20204248;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;;-20.517.941;-54.668.834;-20.517.941;-54.668.834;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEI PROFª MARIOLINA PEREIRA MENDES;50026070;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA ELVIS PRESLEY, 550 JARDIM MORENAO. 79070-100 Campo Grande - MS.;(67) 20204208;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-2.052.652.839;-546.246.142;-2.052.652.839;-546.246.142;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEI MICHEL SCAFF;50026089;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA MARIE, 530 JARDIM COLUMBIA. 79018-030 Campo Grande - MS.;(67) 20204256;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-2.038.255.124;-5.455.050.271;-2.038.255.124;-5.455.050.271;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEI MARY SADALLA SAAD;50026097;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA PALMEIRAIS, 583 ESQ R BRINCO DE PRIN. ESTRELA DALVA I. 79034-500 Campo Grande - MS.;(67) 20204254;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-2.042.655.998;-5.455.791.545;-2.042.655.998;-5.455.791.545;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEI PROFª MARIA JOSEFINA BEZERRA XAVIER;50026100;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA HOTEL, 2080 VILA BASE AEREA. TAVEIROPOLIS. 79090-370 Campo Grande - MS.;(67) 20204206;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-2.047.157.667;-5.465.355.167;-2.047.157.667;-5.465.355.167;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEI MARCOS ROBERTO;50026119;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA DO EBANO, 508 JARDIM MARCOS ROBERTO. 79080-530 Campo Grande - MS.;(67) 20204246;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-2.048.875.568;-5.462.957.575;-2.048.875.568;-5.462.957.575;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEI PROFª MARIA ILDONEI DE LIMA PEDRA;50026127;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA FIDELO MARIANO DE ALMEIDA, 162 RESIDENCIAL OLIVEIRA II. 79091-662 Campo Grande - MS.;(67) 20204215;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-204.747.834;-546.593.073;-204.747.834;-546.593.073;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEI IBER GOMES DE SA;50026143;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA PEDRO DE TOLEDO, 886 VILA PIRATININGA. 79081-030 Campo Grande - MS.;(67) 20204226;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-2.049.600.812;-5.462.456.284;-2.049.600.812;-5.462.456.284;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEI ALBA LUCIA SPENGLER DOS SANTOS PEREIRA;50026151;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;AVENIDA GENERAL ALBERTO CARLOS MENDONCA LIMA, 2827 JARDIM SANTA EMILIA. 79093-290 Campo Grande - MS.;(67) 20204201;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;;-2.049.924.856;-5.468.004.858;-2.049.924.856;-5.468.004.858;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEI CLAUDIO MARCOS MANCINI;50026160;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA TUPI, 624 VILA JUSSARA. 79092-490 Campo Grande - MS.;(67) 20204211;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-204.967.594;-54.658.983;-204.967.594;-54.658.983;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEI CAMPO VERDE;50026178;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA SEBASTIAO PEREIRA BORGES, 100 JARDIM CAMPO VERDE. 79016-400 Campo Grande - MS.;(67) 20204209;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-2.040.830.411;-5.457.487.497;-2.040.830.411;-5.457.487.497;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEI CLEBE BRAZIL FERREIRA;50026186;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA PADRE MUSSA TUMA, 805 JARDIM ITAMARACA. 79062-130 Campo Grande - MS.;(67) 20204212;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;;-205.092.626;-545.673.556;-205.092.626;-545.673.556;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEI PROFª THEREZINHA MANDETTA TRAD;50026194;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;AVENIDA EZEQUIEL FERREIRA LIMA, 42 CONJUNTO AERO RANCHO. 79084-010 Campo Grande - MS.;(67) 20204200;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-2.050.956.906;-5.465.383.103;-2.050.956.906;-5.465.383.103;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEI ODETE TRINDADE BENITES;50026208;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA ITAPORANGA, 107 ZE PEREIRA. 79107-400 Campo Grande - MS.;(67) 20204264;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-2.043.331.143;-5.467.415.242;-2.043.331.143;-5.467.415.242;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEI VO FINA;50026216;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA PARAISOPOLIS, 445 VILA SANTO EUGENIO. 79060-550 Campo Grande - MS.;(67) 20204299;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-2.051.372.739;-5.459.285.933;-2.051.372.739;-5.459.285.933;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEI ZACARIAS VIEIRA DE ANDRADE;50026224;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA OLINDA ALVES, 743 RITA VIEIRA III. 79052-440 Campo Grande - MS.;(67) 20204400;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-2.050.158.903;-5.457.748.949;-2.050.158.903;-5.457.748.949;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CORI-CENTRO DE EDUCACAO INFANTIL E ENSINO FUNDAMENTAL;50026330;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;RUA JOSE GONCALVES SOBRINHO, 177 TERREO. VILA SOBRINHO. 79110-020 Campo Grande - MS.;(67) 33259142;Privada;Particular;Não;Sim;Até 50 matrículas de escolarização;Educação Infantil, Ensino Fundamental;;-204.578.832;-546.363.075;-204.578.832;-546.363.075;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;SOLETRANDO ESCOLA DE ED INFANTIL E ENSINO FUNDAMENTAL;50026364;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;RUA CORONEL CACILDO ARANTES, 440 CHACARA CACHOEIRA. 79040-452 Campo Grande - MS.;;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil, Ensino Fundamental;;-2.046.224.371;-5.457.998.509;-2.046.224.371;-5.457.998.509;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CENTRO EDUCACIONAL CONSTRUINDO O SABER;50026402;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;RUA BARAO DE LIMEIRA, 2068 UNIVERSITARIO. 79070-150 Campo Grande - MS.;(67) 33873716;Privada;Particular;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil, Ensino Fundamental;;-2.052.074;-5.462.152;-2.052.074;-5.462.152;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA DO SESI CAMPO GRANDE;50026429;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;AFONSO PENA, 1114 AMAMBAI. 79005-901 Campo Grande - MS.;(67) 33657861;Privada;Particular;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Ensino Fundamental, Ensino Médio;;-2.046.654.335;-5.462.517.133;-2.046.654.335;-5.462.517.133;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;COLEGIO SAO FRANCISCO EIEFM;50026631;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;RUA TREZE DE MAIO, 4059 CENTRO. 79002-352 Campo Grande - MS.;(67) 30262336;Privada;Particular;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil, Ensino Fundamental;;-2.044.919;-5.461.864;-2.044.919;-5.461.864;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CRECHE IRMA IRMA ZORZI;50026658;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA URUGUAIANA, 563 PRESIDIO FEMININO. CORONEL ANTONINO. 79011-330 Campo Grande - MS.;(67) 992806656;Estadual;Não Informado;Não;Sim;Até 50 matrículas de escolarização;Educação Infantil;;-2.043.241;-5.459.993;-2.043.241;-5.459.993;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA CRIATIBRINCANDO DE EIEF LTDA;50026720;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;RUA OSVALDO CRUZ, 55 JARDIM DOS ESTADOS. 79002-501 Campo Grande - MS.;(67) 33846842;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil, Ensino Fundamental;;-204.587.502;-546.040.778;-204.587.502;-546.040.778;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;LAR NOSSA SENHORA APARECIDA;50026739;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;AVENIDA RODOLFO JOSE PINHO, 1436 JARDIM SAO BENTO. 79004-690 Campo Grande - MS.;(67) 33414094;Privada;Filantrópica;Sim;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-204.765.282;-54.595.993;-204.765.282;-54.595.993;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;NOTA 10 - UNIDADE FELIZ IDADE;50026771;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;RUA ALAGOAS, 268 JARDIM DOS ESTADOS. 79020-120 Campo Grande - MS.;(67) 33045133;Privada;Particular;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil, Ensino Fundamental;;-204.574.879;-545.949.675;-204.574.879;-545.949.675;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM NAGEN JORGE SAAD;50026887;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA PANAMBI VERA, 199 SAO PEDRO. 79092-340 Campo Grande - MS.;(67) 20204064;Municipal;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;Educação Infantil, Ensino Fundamental;Atendimento Educacional Especializado, Atividade Complementar;-2.050.718.684;-5.465.577.133;-2.050.718.684;-5.465.577.133;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEI PROFª MARLY SANT ANNA PINHEIRO;50026895;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA CATAGUASES, 722 PARQUE NOVOS ESTADOS. 79034-050 Campo Grande - MS.;(67) 20204262;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-2.041.785.277;-5.456.011.266;-2.041.785.277;-5.456.011.266;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUNDO MAGICO E INSTITUTO MACHADO DE ASSIS;50027166;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;RUA CASTANHEIRAS, 247 COOPHATRABALHO. 79115-090 Campo Grande - MS.;(67) 30285626;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil, Ensino Fundamental;;-2.043.346;-5.465.023;-2.043.346;-5.465.023;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA DESPERTAR DE ENSINO FUNDAMENTAL;50027182;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;RUA AMAZONAS, 1355 MONTE CASTELO. 79010-905 Campo Grande - MS.;(67) 30262623;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;Ensino Fundamental;;-204.459.977;-546.016.434;-204.459.977;-546.016.434;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CENTRO EDUCACIONAL PAULO DE TARSO;50027190;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;TRAVESSA KELEN, 66 COOPHAVILA II. 79097-013 Campo Grande - MS.;(67) 33819737;Privada;Particular;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Educação Infantil, Ensino Fundamental, Ensino Médio;;-205.316.165;-546.722.583;-205.316.165;-546.722.583;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CENTRO EDUCACIONAL SUPERACAO;50027204;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;RUA DOS RECIFES, 976 COOPHAVILA II. 79097-050 Campo Grande - MS.;(67) 33736444;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil, Ensino Fundamental;;-2.053.473;-5.467.155;-2.053.473;-5.467.155;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;INSTITUTO JOAO BATISTA DE ENSINO;50027239;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;RUA DA DIVISAO, 608 JARDIM PARATI. 79081-650 Campo Grande - MS.;(67) 33461198;Privada;Particular;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil, Ensino Fundamental;;-2.051.057;-5.463.458;-2.051.057;-5.463.458;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EEIEF PARADIGMA;50027352;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;RUA OURO NEGRO, 682 VILA MARCOS ROBERTO. 79080-270 Campo Grande - MS.;(67) 33463116;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil, Ensino Fundamental;;-2.048.884;-5.462.609;-2.048.884;-5.462.609;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;OBRAS SOCIAIS E COMUNITARIA DO AERO RANCHO;50027360;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;RUA CHARLOTE, 382 NUCLEO HAB. AERO RANCHO. 79083-610 Campo Grande - MS.;(67) 30283063;Privada;Filantrópica;Sim;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-205.196.887;-546.530.611;-205.196.887;-546.530.611;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM DR PLINIO BARBOSA MARTINS;50027409;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA SAO PIO DE PIETRELCINA, 430 JARDIM DAS MACAUBAS. 79073-090 Campo Grande - MS.;(67) 20204022;Municipal;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;Educação Infantil, Ensino Fundamental;Atendimento Educacional Especializado, Atividade Complementar;-205.494.733;-546.192.412;-205.494.733;-546.192.412;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM CONSULESA MARGARIDA MAKSOUD TRAD;50027417;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA DO LEAO, S/N CONJUNTO HABITACIONAL ESTRELA DALVA I. 79034-605 Campo Grande - MS.;(67) 20204015;Municipal;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;Educação Infantil, Ensino Fundamental, Educação de Jovens Adultos;Atendimento Educacional Especializado, Atividade Complementar;-2.042.891.014;-5.456.080.989;-2.042.891.014;-5.456.080.989;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEI MARCO ANTONIO SANTULLO;50027549;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA SUDAO, 241 JARDIM BATISTAO. 79094-290 Campo Grande - MS.;(67) 20204245;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;;-205.194.184;-546.731.228;-205.194.184;-546.731.228;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA CARROSSEL EDUCAMP;50027891;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;RUA BERNARDO FRANCO BAIS, 196 VILA CARVALHO. 79005-210 Campo Grande - MS.;(67) 33835577;Privada;Particular;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil, Ensino Fundamental;;-204.754.467;-546.213.212;-204.754.467;-546.213.212;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CENTRO DE EDUCACAO INFANTIL VO INEZ;50027905;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;RUA CARLOS DRUMMOND DE ANDRADE, 694 CONJUNTO AERO RANCHO. 79085-110 Campo Grande - MS.;(67) 30293738;Privada;Comunitária;Sim;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-2.052.732.833;-5.465.738.667;-2.052.732.833;-5.465.738.667;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;SOCIEDADE EUNICE WEAVER DE CAMPO GRANDE;50027948;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;AVENIDA CORONEL ANTONINO, 1.200 CORONEL ANTONINO. 79022-000 Campo Grande - MS.;(67) 33516172;Privada;Filantrópica;Sim;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-20.438.321;-545.967.055;-20.438.321;-545.967.055;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;COLEGIO HARMONIA - UNIDADE I;50027956;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;RUA GOIAS, 930 JARDIM DOS ESTADOS. 79020-101 Campo Grande - MS.;(67) 30430201;Privada;Particular;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental, Ensino Médio;;-204.555.518;-54.596.607;-204.555.518;-54.596.607;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;COLEGIO NOVO SECULO;50027972;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;AVENIDA BANDEIRANTES, 2909 AMAMBAI. 79005-671 Campo Grande - MS.;(67) 32229992;Privada;Particular;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil, Ensino Fundamental;;-204.872.624;-546.428.733;-204.872.624;-546.428.733;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ASSOC ESP DE APOIO A CRIANCA E AO ADOLESCENTE;50028022;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;RUA SIMPLICIO MASCARENHAS, 918 GUANANDI. 79086-150 Campo Grande - MS.;(67) 30277056;Privada;Filantrópica;Sim;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;;-204.976.046;-546.498.636;-204.976.046;-546.498.636;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEI PROFESSORA ELENIR ZANQUETA MOLINA;50028057;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA NEBRASCA, 385 JARDIM NASCENTE DO SEGREDO. 79014-020 Campo Grande - MS.;(67) 20204279;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;;-2.041.025.726;-54.591.882;-2.041.025.726;-54.591.882;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;SESC ADMINISTRACAO REGIONAL NO ESTADO DO MATO GROSSO DO SUL;50028154;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;RUA ANHANDUI, 200 CENTRO. 79002-010 Campo Grande - MS.;(67) 33114300;Privada;Particular;Não;Sim;Mais de 1000 matrículas de escolarização;Educação Infantil, Ensino Fundamental, Ensino Médio;;-204.697.313;-54.622.167;-204.697.313;-54.622.167;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;COLEGIO VIP;50028227;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;RUA ENGENHEIRO ANTONIO GOES, 281 PANAMA. 79112-245 Campo Grande - MS.;(67) 33619186;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil, Ensino Fundamental;;-2.044.168;-5.465.966;-2.044.168;-5.465.966;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM ELIZIO RAMIREZ VIEIRA;50028332;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA ANTONIO MOISES DE FARIAS, 378 JARDIM PENFICO. 79077-014 Campo Grande - MS.;(67) 20204027;Municipal;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;Educação Infantil, Ensino Fundamental;Atendimento Educacional Especializado, Atividade Complementar;-205.521.888;-546.619.441;-205.521.888;-546.619.441;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM IRENE SZUKALA;50028340;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA IEMANJA, 1025 JARDIM DAS HORTENCIAS. 79083-530 Campo Grande - MS.;(67) 20204040;Municipal;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;Educação Infantil, Ensino Fundamental;Atendimento Educacional Especializado, Atividade Complementar;-205.216.053;-546.454.601;-205.216.053;-546.454.601;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ASSOCIACAO CLUBE DE MAES CANTINHO DA AMIZADE;50028499;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;AVENIDA AGRIPINO GRIECO, 567 NUCLEO HABITACIONAL UNIVERSITARIAS. 79071-330 Campo Grande - MS.;(67) 30255746;Privada;Comunitária;Sim;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-205.362.245;-54.620.307;-205.362.245;-54.620.307;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;COLEGIO RUI BARBOSA;50028510;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;RUA GUARATUBA, 375 SOBRINHO. 79110-220 Campo Grande - MS.;(67) 33822393;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação de Jovens Adultos;;-2.046.644;-5.461.867;-2.046.644;-5.461.867;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CENTRO DE EDUCACAO PROFISSIONAL - SENAC CAMPO GRANDE;50028537;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;RUA FRANCISCO CANDIDO XAVIER, 75 AMAMBAI. 79002-052 Campo Grande - MS.;(67) 33126249;Privada;Particular;Não;Não;Entre 501 e 1000 matrículas de escolarização;Educação Profissional;;-204.681.462;-546.218.294;-204.681.462;-546.218.294;;;;
