Restrição de Atendimento;Nome;Código INEP;UF;Município;Localização;Localidade Diferenciada;Categoria Administrativa;Endereço;Telefone;Tipo;Categoria Escola Privada;Conveniada Poder Público;Regulamentação pelo Conselho de Educação;Porte da Escola;Etapas e Modalidade de Ensino Oferecidas;Outras Ofertas Educacionais;Latitude;Longitude;Lat tratada;Long tratada;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE MARCAL DE SOUZA TUPA-Y;50005782;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA LUIZ DE VASCONCELOS, 200 ESCOLA. JARDIM LOS ANGELES. 79073-238 Campo Grande - MS.;(67) 33145639;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos;Atendimento Educacional Especializado, Atividade Complementar;-205.520.401;-54.622.908;-205.520.401;-54.622.908;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE PADRE FRANCO DELPIANO;50005804;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA LINO VILLACHA, 1250 HOSPITAL SAO JULIAO. NOVA LIMA. 79017-200 Campo Grande - MS.;(67) 33557554;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental, Ensino Médio;Atendimento Educacional Especializado, Atividade Complementar;-203.724.592;-54.549.548;-203.724.592;-54.549.548;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE PROFª ADA TEIXEIRA DOS SANTOS PEREIRA;50005812;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA LOURENCO DA VEIGA, 245 JARDIM CAMPO BELO. 79015-243 Campo Grande - MS.;(67) 33845127;Estadual;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;Ensino Fundamental, Ensino Médio;Atendimento Educacional Especializado, Atividade Complementar;-204.007.406;-545.812.355;-204.007.406;-545.812.355;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM PROFESSOR CARLOS HENRIQUE SCHRADER;50005820;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA TITO MADI, 17 JARDIM FLAMBOYANT. 79041-041 Campo Grande - MS.;(67) 20204196;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil, Ensino Fundamental;Atividade Complementar;-204.687.951;-545.765.918;-204.687.951;-545.765.918;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA ESTADUAL PROFESSORA FLAVINA MARIA DA SILVA;50005839;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA CENTRO OESTE, 40 JARDIM MORENAO. 79070-060 Campo Grande - MS.;(67) 33885177;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Médio;Atividade Complementar;-205.235.596;-546.239.203;-205.235.596;-546.239.203;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM PROFESSORA HILDA DE SOUZA FERREIRA;50005847;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA MANGABEIRA, 38 COOPHATRABALHO. 79115-191 Campo Grande - MS.;(67) 20204511;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil, Ensino Fundamental;Atividade Complementar;-2.043.331.986;-546.558.911;-2.043.331.986;-546.558.911;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE PROFª JOELINA DE ALMEIDA XAVIER;50005855;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA SANDOVAL RIBEIRO SOARES, 55 CORONEL ANTONINO. 79013-590 Campo Grande - MS.;(67) 33141251;Estadual;Não Informado;Não;Sim;Até 50 matrículas de escolarização;Ensino Fundamental;Atividade Complementar;-204.237.481;-5.458.769;-204.237.481;-5.458.769;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE PROFª THEREZA NORONHA DE CARVALHO;50005863;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA BRILHANTE, 3315 VILA BANDEIRANTE. 79006-560 Campo Grande - MS.;(67) 33263909;Estadual;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Ensino Fundamental, Ensino Médio;;-205.476.463;-546.463.439;-205.476.463;-546.463.439;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE PROFª ELIA FRANCA CARDOSO;50005871;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA SARGENTO JONAS SERGIO DE OLIVEIRA, 297 JARDIM SAO CONRADO. 79093-250 Campo Grande - MS.;(67) 33146058;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental, Ensino Médio;Atendimento Educacional Especializado, Atividade Complementar;-204.982.567;-546.720.283;-204.982.567;-546.720.283;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE PROF HENRIQUE CIRYLLO CORREA;50005880;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;AVENIDA DA CAPITAL, 611 VILA RICA. 79022-180 Campo Grande - MS.;(67) 991047637;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;Atividade Complementar;-204.372.746;-545.941.142;-204.372.746;-545.941.142;;;;
