Nome;Tipo
EM DES CARLOS GARCIA DE QUEIROZ;Municipal
COLEGIO SUCESSO;Privada
ESCOLA TECNICA DO SUS PROFª ENA DE ARAUJO GALVAO;Estadual
EM SULIVAN SILVESTRE OLIVEIRA - TUMUNE KALIVONO - CRIANCA DO FUTURO;Municipal
EM PROFª IONE CATARINA GIANOTTI IGYDIO;Municipal
EM PROF FAUZE SCAFF GATTASS FILHO;Municipal
EMEI PROFª SELMA APARECIDA FERREIRA LEAL TOMM;Municipal
EMEI IRMA JUDITH BANDERA;Municipal
EMEI SERRADINHO;Municipal
EMEI PAULINO ROMEIRO PARE;Municipal
EMEI ALOINA DE OLIVEIRA SOARES;Municipal
EMEI FLORIA BRITEZ DE EUGENIO;Municipal
EMEI MARIA DE LOURDES VIEIRA CASTOLDI;Municipal
EMEI OLINDA TOSHIMI NISHIO NASSU;Municipal
EMEI LUCIA ANGELA DE CASTRO COSTA;Municipal
EMEI JASMIM IBRAHIM BACHA;Municipal
EMEI LUIZ CARLOS SOBRAL PETTENGILL;Municipal
EMEI ANTONIO RUSTIANO FERNANDES;Municipal
EMEI IVONE CALARGE ZAHRAN;Municipal
EMEI LAGEADO;Municipal
EMEI VERA ALBA CONGRO BASTOS;Municipal
EMEI FATIMA DE JESUS DINIZ SILVEIRA;Municipal
EMEI CLEOMAR BAPTISTA DOS SANTOS;Municipal
EMEI PAULO SIUFI;Municipal
EMEI IPIRANGA;Municipal
EMEI MARIA EDWIGES DE ALBUQUERQUE BORGES;Municipal
CENTRO DE EDUCACAO INFANTIL GIRASSOL;Privada
EMEI ATHENAS SA CARVALHO;Municipal
EMEI NEIDA GORDIN FREIRE;Municipal
EMEI JOAO GARCIA DE CARVALHO FILHO;Municipal
EMEI PROF OSVALDO MACIEL DE OLIVEIRA;Municipal
EMEI PIRATININGA;Municipal
EMEI MARIA CRISTINA OCARIZ DE BARROS;Municipal
EMEI PROFª MARIOLINA PEREIRA MENDES;Municipal
EMEI MICHEL SCAFF;Municipal
EMEI MARY SADALLA SAAD;Municipal
EMEI PROFª MARIA JOSEFINA BEZERRA XAVIER;Municipal
EMEI MARCOS ROBERTO;Municipal
EMEI PROFª MARIA ILDONEI DE LIMA PEDRA;Municipal
EMEI IBER GOMES DE SA;Municipal
